# source=MFAToolkit WebGCM  sha=713236f  cues=etc/MFAToolkit/cues/  input=ModelSEED structures (Unique_ModelSEED_Structures.txt, SMILES preferred)  convention=A (H+ = -9.5 kcal/mol, H in compound dGf)  units=kcal/mol
compound_id	status	dg_kcal_per_mol	dgerr_kcal_per_mol	charge	formula	groups	note
cpd00103	ok	-814.62	2.6437	0	C5H10O14P3	-OPO3:2|-CH2-:1|ring -CH<:4|ring -O-:1|-OPO2-:1|-OH:2|Origin:1|-3	No special notes for this compound.
cpd00104	ok	-109.02	4.414	0	C10H15N2O3S	-COO:1|-CH2-:4|ring -CH<:1|ring -S-:1|ring -CH2-:1|two fused rings >CH-:2|ring >C=O:1|amide:2|ring -NH-:2|Origin:1|-1	No special notes for this compound.
cpd00105	ok	-181.62	2.6995	0	C5H10O5	-OH:4|-CH2-:1|ring -CH<:4|ring -O-:1|Origin:1|0	No special notes for this compound.
cpd00106	ok	-143.70	1.4338	0	C4H2O4	-COO:2|=CH-:2|Origin:1|OCCC:2|-2	No special notes for this compound.
cpd00107	ok	-84.87	0.89355	0	C6H13NO2	-CH3:2|>CH-:2|-CH2-:1|-NH3:1|-COO:1|Origin:1|0	No special notes for this compound.
cpd00108	ok	-218.28	3.0884	0	C6H12O6	-OH:5|-CH2-:1|ring -CH<:5|ring -O-:1|Origin:1|0	No special notes for this compound.
cpd00109	no_groups			0	C42H42FeN8O8R4S2	RW:4|>C=O:4|>CH-:4|-CH2-:6|-S-:2|-CH3:6|ring =C<:8|unlabeled atoms:21|-COO:2|-NH-:4|amide:2|Origin:1|CCCN:4|CCNC:2|CCCC:6|heteroaromatic:1|-1	Formation energy not estimated due to the presence of 21 atoms that could not be assigned to any of the existing set of structural groups. Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: RW:4|
cpd00110	no_groups			0	C42H42FeN8O8R4S2	RW:4|>C=O:4|>CH-:4|-CH2-:6|-S-:2|-CH3:6|ring =C<:8|unlabeled atoms:21|-COO:2|-NH-:4|amide:2|Origin:1|CCCN:4|CCNC:2|CCCC:6|heteroaromatic:1|-2	Formation energy not estimated due to the presence of 21 atoms that could not be assigned to any of the existing set of structural groups. Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: RW:4|
cpd00111	ok	-434.73	6.1183	0	C20H30N6O12S2	-NH3:2|>CH-:4|-CH2-:8|>C=O:4|-S-S-:1|-COO:4|amide:4|-NH-:4|Origin:1|-2	No special notes for this compound.
cpd00112	ok	-610.28	6.1199	0	C20H29N4O16P	-CH3:1|>C=O:1|ring -CH<:7|>CH-:2|-OH:6|-CH2-:2|ring -O-:2|ring >C<:1|-OPO3-:1|ring =CH-:2|ring =C<:1|-NH2:1|ring =N-:1|ring >C=O:1|-COO:1|ring -CH2-:1|amide:2|-NH-:1|ring -N<:1|Origin:1|OCNC:1|CCCN:1|-2	No special notes for this compound.
cpd00113	ok	-439.84	1.1584	0	C5H10O7P2	=CH2:1|=C<:1|-CH3:1|-CH2-:2|-OPO2-:1|-OPO3:1|Origin:1|-2	No special notes for this compound.
cpd00114	ok	-313.58	5.487	0	C10H12N4O8P	ring >C=O:1|ring =CH-:2|ring =N-:2|two fused rings >C=:2|ring -N<:1|ring -CH<:4|ring -O-:1|-CH2-:1|-OPO3:1|-OH:2|amide:1|ring -NH-:1|Origin:1|OCCC:1|CCNC:1|heteroaromatic:1|-1	No special notes for this compound.
