ID	DATABASE	RHEA
2.1.1.135-RXN	MetaCyc	23910
2.1.1.136-RXN	MetaCyc	18910
2.1.1.137-RXN	MetaCyc	15294
2.1.1.138-RXN	MetaCyc	11685
2.1.1.139-RXN	MetaCyc	11697
2.1.1.140-RXN	MetaCyc	17410
2.1.1.142-RXN	MetaCyc	13140
2.1.1.143-RXN	MetaCyc	21045
2.1.1.145-RXN	MetaCyc	22201
2.1.1.146-RXN	MetaCyc	17082
2.1.1.147-RXN	MetaCyc	14776
2.1.1.149-RXN	MetaCyc	24283
2.1.1.155-RXN	MetaCyc	15106
2.1.1.16-RXN	MetaCyc	17550
2.1.1.17-RXN	MetaCyc	11165
2.1.1.19-RXN	MetaCyc	13695
2.1.1.21-RXN	MetaCyc	15840
2.1.1.28-RXN	MetaCyc	12177
2.1.1.34-RXN	MetaCyc	20078
2.1.1.38-RXN	MetaCyc	22281
2.1.1.3-RXN	MetaCyc	22791
2.1.1.44-RXN	MetaCyc	11105
2.1.1.57-RXN	MetaCyc	19618|11221
2.1.1.59-RXN	MetaCyc	24313
2.1.1.5-RXN	MetaCyc	22337
2.1.1.60-RXN	MetaCyc	21557
2.1.1.62-RXN	MetaCyc	22745
2.1.1.63-RXN	MetaCyc	24001
2.1.1.64-RXN	MetaCyc	17050
2.1.1.69-RXN	MetaCyc	11809
2.1.1.70-RXN	MetaCyc	21245
2.1.1.71-RXN	MetaCyc	32736
2.1.1.72-RXN	MetaCyc	15198
2.1.1.74-RXN	MetaCyc	16876
2.1.1.77-RXN	MetaCyc	12706
2.1.1.79-RXN	MetaCyc	11989
2.1.1.82-RXN	MetaCyc	16182
2.1.1.83-RXN	MetaCyc	21833
2.1.1.84-RXN	MetaCyc	18718
2.1.1.85-RXN	MetaCyc	19370
2.1.1.86-RXN	MetaCyc	53495
2.1.1.88-RXN	MetaCyc	16594
2.1.1.89-RXN	MetaCyc	22537
2.1.1.90-RXN	MetaCyc	21347
2.1.1.94-RXN	MetaCyc	20993
2.1.1.97-RXN	MetaCyc	17834
2.1.1.99-RXN	MetaCyc	11337
2.1.2.8-RXN	MetaCyc	11283
2.1.3.1-RXN	MetaCyc	20767
2.1.3.9-RXN	MetaCyc	18612
2.1.4.2-RXN	MetaCyc	13266
2.2.1.4-RXN	MetaCyc	21507
2.3.1.103-RXN	MetaCyc	22665
2.3.1.104-RXN	MetaCyc	10347
2.3.1.105-RXN	MetaCyc	18560
2.3.1.106-RXN	MetaCyc	10952
2.3.1.107-RXN	MetaCyc	24497
2.3.1.114-RXN	MetaCyc	21060
2.3.1.115-RXN	MetaCyc	15582
2.3.1.116-RXN	MetaCyc	20086
2.3.1.118-RXN	MetaCyc	20280
2.3.1.121-RXN	MetaCyc	16248
2.3.1.125-RXN	MetaCyc	21999
2.3.1.126-RXN	MetaCyc	20759
2.3.1.128-RXN	MetaCyc	43757
2.3.1.130-RXN	MetaCyc	12997
2.3.1.131-RXN	MetaCyc	23311
2.3.1.132-RXN	MetaCyc	14264
2.3.1.133-RXN	MetaCyc	12125
2.3.1.135-RXN	MetaCyc	17470
2.3.1.138-RXN	MetaCyc	12439
2.3.1.141-RXN	MetaCyc	17057
2.3.1.143-RXN	MetaCyc	19110
2.3.1.147-RXN	MetaCyc	15412
2.3.1.148-RXN	MetaCyc	20975
2.3.1.149-RXN	MetaCyc	11051
2.3.1.150-RXN	MetaCyc	22857
2.3.1.151-RXN	MetaCyc	19306
2.3.1.152-RXN	MetaCyc	23527
2.3.1.154-RXN	MetaCyc	10408
2.3.1.155-RXN	MetaCyc	18163
2.3.1.156-RXN	MetaCyc	23573
2.3.1.157-RXN	MetaCyc	13726
2.3.1.158-RXN	MetaCyc	14060
2.3.1.159-RXN	MetaCyc	22225
2.3.1.160-RXN	MetaCyc	24019
2.3.1.161-RXN	MetaCyc	18566
2.3.1.162-RXN	MetaCyc	22031
2.3.1.163-RXN	MetaCyc	18840
2.3.1.164-RXN	MetaCyc	20723
2.3.1.165-RXN	MetaCyc	12241
2.3.1.166-RXN	MetaCyc	18742
2.3.1.167-RXN	MetaCyc	20138
2.3.1.168-RXN	MetaCyc	18866
2.3.1.171-RXN	MetaCyc	16028
2.3.1.172-RXN	MetaCyc	21989
2.3.1.173-RXN	MetaCyc	22163
2.3.1.175-RXN	MetaCyc	23861
2.3.1.176-RXN	MetaCyc	16867
2.3.1.177-RXN	MetaCyc	22293
2.3.1.179-RXN	MetaCyc	14566
2.3.1.180-RXN	MetaCyc	12081
2.3.1.184-RXN	MetaCyc	10097
2.3.1.23-RXN	MetaCyc	12940
2.3.1.41-RXN	MetaCyc	22836
2.3.1.42-RXN	MetaCyc	17660
2.3.1.43-RXN	MetaCyc	21207
2.3.1.44-RXN	MetaCyc	18308
2.3.1.45-RXN	MetaCyc	20811
2.3.1.49-RXN	MetaCyc	20394
2.3.1.56-RXN	MetaCyc	20328
2.3.1.58-RXN	MetaCyc	13468
2.3.1.62-RXN	MetaCyc	10335
2.3.1.63-RXN	MetaCyc	23995
2.3.1.67-RXN	MetaCyc	18464
2.3.1.72-RXN	MetaCyc	21181
2.3.1.73-RXN	MetaCyc	13304
2.3.1.78-RXN	MetaCyc	15128
2.3.1.80-RXN	MetaCyc	19214
2.3.1.83-RXN	MetaCyc	19288
2.3.1.89-RXN	MetaCyc	13086
2.3.1.90-RXN	MetaCyc	11417
2.3.1.91-RXN	MetaCyc	12025
2.3.1.92-RXN	MetaCyc	12626
2.3.1.97-RXN	MetaCyc	15524
2.3.1.98-RXN	MetaCyc	23205
2.3.1.99-RXN	MetaCyc	15021
2.3.2.10-RXN	MetaCyc	12433
2.3.2.13-RXN	MetaCyc	54817
2.3.2.15-RXN	MetaCyc	17918
2.4.1.101-RXN	MetaCyc	11457
2.4.1.102-RXN	MetaCyc	56217|56213
2.4.1.104-RXN	MetaCyc	14326
2.4.1.109-RXN	MetaCyc	53397|17378
2.4.1.111-RXN	MetaCyc	23945
2.4.1.114-RXN	MetaCyc	10237
2.4.1.116-RXN	MetaCyc	12147
2.4.1.117-RXN	MetaCyc	15402
2.4.1.119-RXN	MetaCyc	50349
2.4.1.121-RXN	MetaCyc	14922
2.4.1.122-RXN	MetaCyc	56197|56201
2.4.1.123-RXN	MetaCyc	12465
2.4.1.125-RXN	MetaCyc	18828
2.4.1.126-RXN	MetaCyc	21637
2.4.1.127-RXN	MetaCyc	11521
2.4.1.129-RXN	MetaCyc	23709
2.4.1.133-RXN	MetaCyc	15298
2.4.1.134-RXN	MetaCyc	11781
2.4.1.135-RXN	MetaCyc	24169
2.4.1.137-RXN	MetaCyc	14288
2.4.1.138-RXN	MetaCyc	13708
2.4.1.141-RXN	MetaCyc	23381
2.4.1.142-RXN	MetaCyc	13866
2.4.1.143-RXN	MetaCyc	12942
2.4.1.144-RXN	MetaCyc	15510|56065
2.4.1.145-RXN	MetaCyc	16058
2.4.1.146-RXN	MetaCyc	56225|56221
2.4.1.147-RXN	MetaCyc	46887|46883
2.4.1.148-RXN	MetaCyc	56189|56193
2.4.1.149-RXN	MetaCyc	14390
2.4.1.150-RXN	MetaCyc	54821
2.4.1.151-RXN	MetaCyc	13014
2.4.1.153-RXN	MetaCyc	14696
2.4.1.155-RXN	MetaCyc	56089|16922
2.4.1.156-RXN	MetaCyc	21149
2.4.1.157-RXN	MetaCyc	47613|17286
2.4.1.159-RXN	MetaCyc	22531
2.4.1.160-RXN	MetaCyc	20178
2.4.1.163-RXN	MetaCyc	23007
2.4.1.165-RXN	MetaCyc	13570
2.4.1.166-RXN	MetaCyc	14126
2.4.1.167-RXN	MetaCyc	10091
2.4.1.171-RXN	MetaCyc	20206
2.4.1.174-RXN	MetaCyc	23465
2.4.1.178-RXN	MetaCyc	15962
2.4.1.179-RXN	MetaCyc	18416
2.4.1.188-RXN	MetaCyc	20953
2.4.1.190-RXN	MetaCyc	14150
2.4.1.191-RXN	MetaCyc	22117
2.4.1.192-RXN	MetaCyc	19330
2.4.1.193-RXN	MetaCyc	14462
2.4.1.194-RXN	MetaCyc	15154
2.4.1.195-RXN	MetaCyc	13758
2.4.1.198-RXN	MetaCyc	14792
2.4.1.201-RXN	MetaCyc	19946
2.4.1.202-RXN	MetaCyc	15544
2.4.1.206-RXN	MetaCyc	13908
2.4.1.208-RXN	MetaCyc	19168
2.4.1.209-RXN	MetaCyc	13130
2.4.1.210-RXN	MetaCyc	11257
2.4.1.211-RXN	MetaCyc	20288
2.4.1.212-RXN	MetaCyc	12531
2.4.1.213-RXN	MetaCyc	12884
2.4.1.214-RXN	MetaCyc	24447
2.4.1.216-RXN	MetaCyc	20867
2.4.1.217-RXN	MetaCyc	13538
2.4.1.218-RXN	MetaCyc	12563
2.4.1.219-RXN	MetaCyc	19386
2.4.1.220-RXN	MetaCyc	12005
2.4.1.223-RXN	MetaCyc	16222
2.4.1.224-RXN	MetaCyc	16214
2.4.1.225-RXN	MetaCyc	20909
2.4.1.228-RXN	MetaCyc	11927
2.4.1.229-RXN	MetaCyc	17844
2.4.1.230-RXN	MetaCyc	11179
2.4.1.234-RXN	MetaCyc	15712
2.4.1.237-RXN	MetaCyc	23165
2.4.1.239-RXN	MetaCyc	18894
2.4.1.23-RXN	MetaCyc	19488
2.4.1.240-RXN	MetaCyc	23545
2.4.1.242-RXN	MetaCyc	15876
2.4.1.244-RXN	MetaCyc	20496
2.4.1.36-RXN	MetaCyc	14606
2.4.1.37-RXN	MetaCyc	14350
2.4.1.38-RXN	MetaCyc	22933
2.4.1.39-RXN	MetaCyc	14156
2.4.1.40-RXN	MetaCyc	19022
2.4.1.41-RXN	MetaCyc	52425|23957
2.4.1.43-RXN	MetaCyc	13574
2.4.1.45-RXN	MetaCyc	10857
2.4.1.46-RXN	MetaCyc	14946
