# Reactions whose energy moved more than 10.0 kcal/mol between the
# reference and shipped builds. Treat every one as LOW CONFIDENCE.
#
# RISK MARKER, NOT A VERDICT:
#   unbalanced_enumeration  a compound's pKa source was substituted while a
#       partner carrying sites above pH 7 was not, so spurious sites no longer
#       cancel (~9.55 kcal/mol per unbalanced proton). rxn08713 satisfies this
#       and still lands on the independently-derived Marvin-era value, so the
#       signature over-selects.
#   large_shift_mechanism_unidentified  moved without that signature. Includes
#       rxn08789, which moved TOWARD the Marvin-era value and is a correction.
#
# The reference value is NOT a safe fallback: there both partners carried the
# same spurious sites and the errors cancelled, which is not accuracy.
# NONE of these reactions has a TECRDB match, so neither value can be checked
# against experiment.
#
# shipped:   /scratch/seaver/Claude_Projects/eQuilibrator/data/cache_final/compounds.sqlite
# reference: /scratch/seaver/Claude_Projects/eQuilibrator/data/prev_20260903/cache_final/compounds.sqlite
reaction_id	name	dg_reference_kcal	dg_shipped_kcal	shift_kcal	net_site_change	flag	compounds_resubstituted	partners_left_unchanged	largest_partner	largest_partner_name
rxn15472	1-O-Galloyl-beta-D-glucose:1,2,3,6-tetrakis-O-galloyl-beta-D	-1.673	-13.761	-12.09	-2	unbalanced_enumeration	cpd02748;cpd02785	cpd00852;cpd19001	cpd00852	beta-Glucogallin
rxn59846		-16.623	-4.641	11.98	-61	unbalanced_enumeration	cpd01482;cpd46224;cpd46763	cpd00014	cpd00014	UDP
rxn03384	Uroporphyrinogen I carboxy-lyase	1.425	-10.495	-11.92	-8	large_shift_mechanism_unidentified	cpd03414;cpd03416			
rxn35415	RXN-10642.d	1.425	-10.495	-11.92	-8	large_shift_mechanism_unidentified	cpd03414;cpd03416			
rxn02288	Uroporphyrinogen-III carboxy-lyase	1.407	-10.495	-11.90	-8	large_shift_mechanism_unidentified	cpd00774;cpd02083			
rxn27432	uroporphyrinogen III decarboxylase	1.407	-10.495	-11.90	-8	large_shift_mechanism_unidentified	cpd00774;cpd02083			
rxn54870	60420	-0.722	-12.366	-11.64	-29	large_shift_mechanism_unidentified	cpd38325;cpd38332			
rxn08887	murein crosslinking transpeptidase 1A:(A2pm->D-ala) (peripla	-77.501	-88.735	-11.23	-46	unbalanced_enumeration	cpd15511;cpd15514	cpd00117	cpd00117	D-Alanine
rxn47750		-13.813	-3.322	10.49	-37	unbalanced_enumeration	cpd33701;cpd34405	cpd00014;cpd00026	cpd00026	UDP-glucose
rxn08409	enterobacterial common antigen polymerase (periplasm)	-13.494	-3.189	10.30	-44	large_shift_mechanism_unidentified	cpd15455;cpd15456;cpd15582			
rxn59821		-13.223	-3.065	10.16	-33	unbalanced_enumeration	cpd46223;cpd46238;cpd46394	cpd00014	cpd00014	UDP
