rxn	name	ec	status	is_transport	n_src	birge	struct_zero	dg_GC	grade_GC	dg_EQ	grade_EQ	dg_DGPMS	grade_DGPMS	dg_TECRDB	grade_TECRDB	best_grade	best_source
rxn00099	(6S)-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase (ATP-hydrolysing)	4.2.1.93	OK	0	3	0.9755	False	-13.0700	SILVER	-12.8680	SILVER	-27.1100	BRONZE			SILVER	GC
rxn00100	ATP:dephospho-CoA 3'-phosphotransferase	2.7.1.24	OK	0	3	2.7669	False	-14.0000	BRONZE	1.2940	SILVER	-0.3500	GOLD	-0.2897	GOLD	GOLD	TECRDB
rxn00101	Urea amidohydrolase	3.5.1.5	OK	0	3	1.2852	False	-5.8100	SILVER	-8.6280	BRONZE	-1.7700	BRONZE			SILVER	GC
rxn00102	carbonate hydro-lyase (carbon-dioxide-forming)	4.2.1.1	OK	0	3	0.9162	False	0.8100	GOLD	-0.0830	SILVER	-2.5900	BRONZE			GOLD	GC
rxn00103	formate:NADP+ oxidoreductase	1.17.1.10;1.2.1.43	OK	0	3	0.7920	False	-3.0900	SILVER	-4.6990	SILVER	-7.8700	SILVER			SILVER	GC
rxn00104	polyphosphate kinase	2.7.4.1	OK	0	1		False					-6.7500	BRONZE			BRONZE	DGPMS
rxn00105	ATP:nicotinamide-nucleotide adenylyltransferase	2.7.7.1;2.7.7.18	OK	0	3	0.3488	False	1.0700	GOLD	-0.1330	GOLD	0.4300	GOLD	0.5664	GOLD	GOLD	TECRDB
rxn00106	Triphosphate phosphohydrolase	3.6.1.1;3.6.1.25	OK	0	1		False					-0.3100	BRONZE			BRONZE	DGPMS
rxn00107	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	2.7.4.6	OK	0	3	1.1605	False	0.0000	SILVER	1.5470	SILVER	-0.3700	GOLD			GOLD	DGPMS
rxn00108	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase	2.7.4.12	OK	0	3	1.9422	False	-9.5000	BRONZE	-1.2520	SILVER	0.4800	GOLD			GOLD	DGPMS
rxn00109	ammonia:NAD+ oxidoreductase	1.7.1.10;1.7.99.1	OK	0	2	1.5990	False	23.0300	BRONZE			39.3300	BRONZE			BRONZE	GC
rxn00110	Nitrogenous compounds,NADH:oxygen oxidoreductase (3-hydroxylating,	1.14.13.35	MI:C:1/H:2|CI:1	0	0		False										
rxn00111	Nitrogenous compounds,NADPH:oxygen oxidoreductase (3-hydroxylating,	1.14.13.35	MI:C:1/H:2|CI:1	0	0		False										
rxn00112	rxn00112	1.13.12.-	CI:-2	0	2	2.6399	False	-71.0400	BRONZE			-45.6500	BRONZE			BRONZE	GC
rxn00113	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)	6.3.4.16;6.3.4.16-	OK	0	3	2.9525	False	-16.8100	BRONZE	2.0360	BRONZE	1.7600	BRONZE			BRONZE	GC
rxn00114	ATP:carbamate phosphotransferase	2.7.2.2	OK	0	3	3.0257	False	-10.0300	BRONZE	8.1270	BRONZE	8.8300	BRONZE			BRONZE	GC
rxn00115	R00152		MI:H:-3/O:-2|CI:-1	0	2	6.9178	False	139.8300	BRONZE			106.3600	BRONZE			BRONZE	GC
rxn00116	UDP phosphohydrolase	3.6.1.5;3.6.1.6	OK	0	3	1.7371	False	-16.2800	BRONZE	-5.9920	BRONZE	-6.5900	GOLD			GOLD	DGPMS
rxn00117	ATP:UDP phosphotransferase	2.7.4.6	OK	0	3	0.3931	True	-0.0000	GOLD	0.2450	GOLD	-0.3700	GOLD	-0.0459	GOLD	GOLD	TECRDB
rxn00118	Uridine triphosphate:AMP phosphotransferase	2.7.4.10	OK	0	3	1.7501	False	9.5000	BRONZE	-0.3050	GOLD	-0.0300	GOLD			GOLD	EQ
rxn00119	ATP:UMP phosphotransferase	2.7.4.14;2.7.4.22;2.7.4.4	OK	0	3	1.7729	False	9.5000	BRONZE	-0.0990	BRONZE	-0.4800	GOLD			GOLD	DGPMS
rxn00120	UTP phosphohydrolase	3.6.1.15;3.6.1.39;3.6.1.5	OK	0	3	0.2375	False	-6.7800	SILVER	-6.3370	GOLD	-6.7000	GOLD			GOLD	EQ
rxn00121	FAD nucleotidohydrolase	3.6.1.18;3.6.1.9	OK	0	3	3.5235	False	-28.3100	BRONZE	-4.6160	BRONZE	-10.3900	SILVER			SILVER	DGPMS
rxn00122	ATP:FMN adenylyltransferase	2.7.7.2	OK	0	3	1.0732	False	1.0700	SILVER	-3.5230	BRONZE	0.4300	SILVER			SILVER	GC
rxn00123	pyridoxal-5'-phosphate phosphohydrolase	3.1.3.74	OK	0	3	1.8275	False	7.2200	BRONZE	-3.0490	SILVER	-5.5900	BRONZE			SILVER	EQ
rxn00124	ATP:pyridoxal 5'-phosphotransferase	2.7.1.35	OK	0	3	1.9477	False	-14.0000	BRONZE	-3.0420	SILVER	-1.4700	BRONZE			SILVER	EQ
rxn00125	S-Adenosyl-L-methionine hydrolase	3.3.1.2	OK	0	2	2.2838	False	-7.4400	BRONZE			15.8400	BRONZE			BRONZE	GC
rxn00126	ATP:L-methionine S-adenosyltransferase	2.5.1.6	OK	0	2	0.8466	False	-12.5800	SILVER			-21.2100	SILVER			SILVER	GC
rxn00127	S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]	4.1.1.50	OK	0	3	1.5637	False	-3.1200	BRONZE	-7.1580	BRONZE	-17.5300	BRONZE			BRONZE	GC
rxn00128	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)	4.4.1.14	OK	0	2	0.1874	False	-3.0200	SILVER			-4.9300	SILVER			SILVER	GC
rxn00129	S-Adenosyl-L-methionine alkyltransferase (cyclizing)	2.5.1.4	OK	0	2	0.1413	False	1.8500	SILVER			3.2900	SILVER			SILVER	GC
rxn00130	AMP aminohydrolase	3.5.4.17;3.5.4.6	OK	0	3	1.1386	False	-8.5100	SILVER	-7.9240	SILVER	-5.8500	SILVER			SILVER	GC
rxn00131	AMP phosphoribohydrolase	3.2.2.4	OK	0	3	0.6058	False	-0.7300	SILVER	-3.9520	GOLD	-4.1800	SILVER	-3.0939	GOLD	GOLD	TECRDB
rxn00132	Adenosine 5'-monophosphate phosphohydrolase	3.1.3.5	OK	0	3	1.8993	False	7.2200	BRONZE	-3.4200	GOLD	-3.2700	GOLD	-3.1513	GOLD	GOLD	TECRDB
rxn00133	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase	3.6.1.17;3.6.1.61	OK	0	3	1.3838	False	-18.8100	BRONZE	-9.6350	SILVER	-6.5100	SILVER			SILVER	EQ
rxn00134	ATP:adenosine 5'-phosphotransferase	2.7.1.20;2.7.1.74	OK	0	3	2.0477	False	-14.0000	BRONZE	-2.6710	SILVER	-3.7900	GOLD			GOLD	DGPMS
rxn00135	(S)-Lactate adenylohydrolase	3.6.1.29	OK	0	1		False					-29.8900	BRONZE			BRONZE	DGPMS
rxn00136	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase	3.6.1.29	OK	0	2	0.8756	False	-18.8100	SILVER			-9.8200	SILVER			SILVER	GC
rxn00137	Adenosine 3',5'-bisphosphate 3'-phosphohydrolase	3.1.3.7	OK	0	3	2.7176	False	7.2200	BRONZE	-1.4050	BRONZE	-6.7200	SILVER			SILVER	DGPMS
rxn00138	deamido-NAD+:ammonia ligase (AMP-forming)	6.3.1.5;6.3.5.1	OK	0	3	3.2590	False	-22.5200	BRONZE	-3.6010	SILVER	-18.0200	BRONZE			SILVER	EQ
rxn00139	AMP:diphosphate phospho-D-ribosyltransferase	2.4.2.7;2.4.2.8	OK	0	3	1.5074	False	12.5100	BRONZE	4.0890	GOLD	4.5900	SILVER	3.4156	GOLD	GOLD	TECRDB
rxn00140	adenosine 3',5'-phosphate 5'-nucleotidohydrolase	3.1.4.17;3.1.4.53	OK	0	3	1.8367	False	-18.7900	BRONZE	-10.0570	GOLD	-12.0000	SILVER			GOLD	EQ
