rxn	name	ec	status	is_transport	n_src	birge	struct_zero	dg_GC	dg_EQ	dg_DGP	dg_openTECR	best_grade	best_source
rxn00154	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)	1.2.1.-;1.2.1.M10;1.2.4.1;1.8.1.4;2.3.1.12	OK	0	3	0.36345752918420987	False	-8.14	-8.93	-10.49		SILVER	EQ
rxn00155	pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating)	1.2.1.51	OK	0	3	0.3628194803317551	False	-8.14	-8.94	-10.49		SILVER	EQ
rxn00156	pyruvate:oxygen 2-oxidoreductase (CoA-acetylating)	1.2.3.6	OK	0	3	0.22469532165522396	False	-39.88	-40.17	-41.25		SILVER	EQ
rxn00157	Acetyl-CoA:formate C-acetyltransferase	2.3.1.54	OK	0	3	0.883148153652885	False	5.05	4.38	2.62	3.9894837476099427	GOLD	openTECR
rxn00158	O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvate-forming)	4.3.1.13	OK	0	2	5.6559393446151205	False	-6.49	-91.26	-41.89		BRONZE	DGP
rxn00159	(S)-malate:NAD+ oxidoreductase (decarboxylating)	1.1.1.38;1.1.1.39	OK	0	3	0.4190887852102105	False	1.32	1.12	-1.06		SILVER	EQ
rxn00160	(R)-Malate:NAD+ oxidoreductase (decarboxylating)	1.1.1.83	OK	0	3	0.6625897796223618	False	1.32	3.18	-0.83		SILVER	EQ
rxn00161	(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)	1.1.1.40	OK	0	3	0.4180592166985623	False	1.32	1.11	-1.06		SILVER	EQ
rxn00162	oxaloacetate carboxy-lyase (pyruvate-forming)	1.1.1.38;1.1.1.40;4.1.1.112;4.1.1.3	OK	0	3	0.6621759221767226	False	-4.93	-2.99	-6.99		GOLD	GC
rxn00163	acetylenedicarboxylate carboxy-lyase (pyruvate-forming)	4.1.1.78	OK	0	2	12.845519261922012	False	-55.76	27.93	7.06		BRONZE	DGP
