CHEBI_133752	JPKNLFVGUZRHOB-YUMQZZPRSA-N
CHEBI_133756	VIFQAHKDYKZMMS-UHFFFAOYSA-N
CHEBI_133763	RTYDQIKVNMHQMZ-UHFFFAOYSA-N
CHEBI_133768	XUKIKVBUXFVHNV-PVBZBVPYSA-L
CHEBI_133769	XUKIKVBUXFVHNV-APJWUDRJSA-L
CHEBI_133771	RJCPXHXLCWWGHO-PVBZBVPYSA-L
CHEBI_133772	RJCPXHXLCWWGHO-APJWUDRJSA-L
CHEBI_133778	JVRABWKGNATXPC-HQRJMKCBSA-N
CHEBI_133795	BNHQALRBDJVUQB-YTQNUIGOSA-M
CHEBI_133796	ISPMDQHJXOPONJ-RUPKWMQGSA-M
CHEBI_133797	PQYYUXHETXYOCV-UCMLWGQMSA-M
CHEBI_133798	XHMXFEYXNLBDKE-GZVODVPDSA-M
CHEBI_133799	UFJZZVIIOQTESD-OTAJNUQNSA-M
CHEBI_133812	ZPAJZAMPZXISSE-JXZUESEDSA-M
CHEBI_133819	HNICUWMFWZBIFP-BSZOFBHHSA-M
CHEBI_133820	NPDSHTNEKLQQIJ-ZJHFMPGASA-M
CHEBI_133821	ZZMKOZNTEJVKRY-GUBQSTNLSA-M
CHEBI_133822	AOPOCGPBAIARAV-OFVAGIAISA-M
CHEBI_133825	ZYTKFYQKQVYVMW-UHFFFAOYSA-N
CHEBI_133867	XTZSKDGCELJMAX-RVJRVLLYSA-J
CHEBI_133892	KFPAGFLTIOIHLD-WDHAKQNGSA-J
CHEBI_133898	FZDVNXHYGMEEDT-UHFFFAOYSA-L
CHEBI_133899	CXDIKCDVBUPCCG-HCCKYKKOSA-M
CHEBI_133900	USYFDKIQMRDNHC-PEPUZGFWSA-M
CHEBI_133903	NNPWRKSGORGTIM-HCCKYKKOSA-M
CHEBI_133907	ZCZCOXLLICTZAH-UHFFFAOYSA-N
CHEBI_133927	LSAQVYAXNBXMMR-UHFFFAOYSA-L
CHEBI_133928	CKBGWXPNAUCVQQ-UHFFFAOYSA-N
CHEBI_133929	OKDJEEBLFWDDQL-UHFFFAOYSA-N
CHEBI_133930	WJIQCDPCDVWDDE-WZNAKSSCSA-N
CHEBI_133931	OSXOPUBJJDUAOJ-MBYQGORISA-M
CHEBI_133932	BCTXZWCPBLWCRV-ZYADFMMDSA-M
CHEBI_133933	DCFKVKFLEPMEGT-UQZHZJRSSA-M
CHEBI_133934	YYZNJWZRJUGQCW-UQZHZJRSSA-M
CHEBI_133935	LKOFAUCMWTWGQQ-OUVYEZRBSA-M
CHEBI_133936	QQYGVFSESLSOGB-JRGWTXQPSA-M
CHEBI_133937	QOMFBJRPKDFMQK-WRWCHPBISA-M
CHEBI_133938	QYYVKSXGFHDBFT-WRWCHPBISA-M
CHEBI_133939	KFGLFEVIRKTJEW-MBYQGORISA-M
CHEBI_133940	AXDXVEYHEODSPN-HVATVPOCSA-L
CHEBI_133941	NYWGYGGFNSPMLY-GXKXQWPPSA-N
CHEBI_133942	SAURDTOTDJOGPE-XSSYPUMDSA-M
CHEBI_133948	ALQAYVWWNWCFEN-KKEDPRABSA-M
CHEBI_133949	OBXRYBLVMCAPKM-WRMGERKZSA-M
CHEBI_133950	CLKAMUBRHDJOAX-OKNVVHAFSA-M
CHEBI_133952	STVPTNMFKNDFLX-UHFFFAOYSA-N
CHEBI_133958	UVMVOFJDJJPWBT-UHFFFAOYSA-N
CHEBI_133974	SJVWVCVZWMJXOK-TWMXWPQVSA-M
CHEBI_133975	VNYSSYRCGWBHLG-CTOJTRLNSA-M
CHEBI_133977	FXEUKVKGTKDDIQ-UWVGGRQHSA-M
CHEBI_133978	WLGIWVFFGMPRLM-SLHNCBLASA-M
