cpd11597	C5H11O2As	C5H11AsO2
cpd11763	C19H27N3O17P3R2	C9H14N3O7P(C5H8O5PR)n(C5H8O5PR)n
cpd11825	C29H53N2O8PRS	C18H33ORS
cpd11830	C2H7NRS2	C9H19N2ORS2
cpd12005	CHRS2	C8H14NORS2
cpd12115	C15H26O13	(C15H24O12)n
cpd12223	C20H29N3O17P3R2	C10H16N3O7P(C5H8O5PR)n(C5H8O5PR)n
cpd12225	CH3RS2	C8H16NORS2
cpd12227	C15H19N6O6R	C20H28N6O13PR(C5H8O6PR)n
cpd12370	HOR	noformula
cpd12547	C23H46NO7P	C6H13NO7PR
cpd12689	C35H57N7O18P3S	C35H56N7O18P3S
cpd12711		noformula
cpd12712		noformula
cpd12734	C6H9NO3RS	C6H10NO3RS
cpd14547	C4H6N2O2SR2	C4H6N2O2R2S
cpd14548	C4H6N2O2S2R2	C4H6N2O2R2S2
cpd14699	C13H25NO2S2	C13H24NO2RS2
cpd14703	C13H25NO2S2	C13H24NO2RS2
cpd14905	C6H7O9P	C6H6O9P
cpd14960	C43H44CoN4O16	C43H44N4O16.Co
cpd14961	C45H50CoN4O16	C45H50N4O16.Co
cpd15268	C29H55N2O8PRS	unknown
cpd15277	C27H51N2O8PRS	C16H31OSR
cpd15302	C24H42O21	unknown
cpd15325	C15H30O7P	C15H29O7P
cpd15329	C21H42O7P	C21H41O7P
cpd15331	C17H34O7P	C17H33O7P
cpd15432	C176H307N2O100P4	C176H303N2O100P4
cpd15440	C28H47N8O18P3S	C28H46N8O18P3S
cpd15441	C28H45N8O17P3S	C28H44N8O17P3S
cpd15469	C157H275N2O84P4	C157H271N2O84P4
cpd15475	C163H285N2O89P4	C163H281N2O89P4
cpd15477	C169H295N2O94P4	C169H291N2O94P4
cpd15479	C151H265N2O79P4	C151H261N2O79P4
cpd15484	C124H222N2O51P2	C124H223N2O51P2
cpd15485	C117H210N2O45P2	C117H211N2O45P2
cpd15488	C131H234N2O60P3	C131H231N2O60P3
cpd15492	C139H245N2O70P4	C139H241N2O70P4
cpd15549	C124H222N2O54P3	C124H219N2O54P3
cpd15550	C131H234N2O63P4	C131H230N2O63P4
cpd16062		unknown
cpd16332	C10H10N2OS	C10H9N2OS
cpd16343	C43H75N7O17P3S	C43H74N7O17P3S
cpd16638		C39H64N7O17P3S
cpd17400	C7H12O5S	C7H10O5S
cpd17401	C6H10O3S	C6H9O3S
cpd17402	C7H12O5S	C7H10O5S
cpd17404	C8H14O5S	C8H12O5S
cpd17405	C8H14O5S	C8H12O5S
cpd17406	C7H12O3S	C7H11O3S
cpd17408	C9H16O5S	C9H14O5S
cpd17409	C9H16O5S	C9H14O5S
cpd17410	C8H14O3S	C8H13O3S
cpd17412	C10H18O5S	C10H16O5S
cpd17413	C10H18O5S	C10H16O5S
cpd17414	C9H16O3S	C9H15O3S
cpd17416	C11H20O5S	C11H18O5S
cpd17417	C11H20O5S	C11H18O5S
cpd17418	C10H18O3S	C10H17O3S
cpd17420	C12H22O5S	C12H20O5S
cpd17421	C12H22O5S	C12H20O5S
cpd17433	C5H11NOS2	C5H10NOS2
cpd17439	C14H27NO9S3	C14H26NO9S3
cpd17441	C15H29NO9S3	C15H28NO9S3
cpd17443	C16H31NO9S3	C16H30NO9S3
cpd17569	C20H38O7P2	C20H36O7P2
cpd17570	C20H40O7P2	C20H38O7P2
