cpd03233	C48H77N7O21P3S	C48H76N7O21P3S
cpd03232	C48H75N7O20P3S	C48H74N7O20P3S
cpd14950	C15H11O6	C15H12O6
cpd03230	C48H75N7O19P3S	C48H74N7O19P3S
cpd16513	C10H12O	C9H10O2
cpd14957	H3NR	H2NR
cpd12381	C7H9N2O5R	C7H11N2O5R
cpd12380	C15H23O22P4R3	C10H19O16P3R2(C5H8O6PR)n
cpd02896	C42H70N6O31P	C14H25NO14PR
cpd00965	H2Hg	Hg
cpd12753	C2H3NO3R	C2H4NO3R
cpd12386	C5H9O9P2R	C5H11O9P2R
cpd12474	C4H6N2O6PR2	C4H7N2O6PR2
cpd12473	C7H12NO9PR	C7H13NO9PR
cpd12470	C3H4NO3	C2H3NO3(CH2)n
cpd12227	C15H19N6O6R	C20H28N6O13PR(C5H8O6PR)n
cpd03382	C3H9NO3P	C3H10NO3P
cpd16498	C11H15NO3	C11H16NO3
cpd12479	C21H29N5O17P2R2	C11H16N5O8P(C5H8O6PR)n(C5H8O6PR)n
cpd12478	C21H29N5O17P2R2	C11H16N5O8P(C5H8O6PR)n(C5H8O6PR)n
cpd15392	C181H317N3O103P4	C181H314N3O103P4
cpd15391	C11H18NO11P	C11H17NO11P
cpd15390	C8H15NO9P	C8H14NO9P
cpd15394	C6H12O9P	C6H11O9P
cpd10320	C20H27O3F	C20H27FO3
cpd17715	C21H24N2O4	C21H25N2O4
cpd15150	C14H15NCl2	C14H15Cl2N
cpd04419	C2H3O4PCl3	C2H2Cl3O4P
cpd15155		noformula
cpd09242	HOMg	MgO
cpd10539	C6H7O2Br	C6H7BrO2
cpd15159	Ra	Ra.H2
cpd12292	C7H14N5O2R2	C7H13N5O2R2
cpd04498	C2H8NO3As	C2H8AsNO3
cpd01966	C26H39N7O17P3S	C26H38N7O17P3S
cpd04650	C22H27NO2	C22H28NO2
cpd04303	C15H16N4O3F	C15H17FN4O3
cpd04655	C35H35NO3SCl	C35H35ClNO3S
cpd04657	C12H18N2O	C12H19N2O
cpd04658	C15H11N2OCl	C15H11ClN2O
cpd04659	I	C12H19IN2
cpd03435	C56H75N4O6	C55H74N4O5
cpd03436	C56H77N4O6	C56H78N4O6
cpd14826		noformula
cpd14827		noformula
cpd14824		noformula
cpd14825		noformula
cpd14822		noformula
cpd14823		noformula
cpd14820		noformula
cpd03120	C29H47N7O18P3S	C29H46N7O18P3S
cpd02436	C6H2O4Cl2	C6H2Cl2O4
cpd12274	C10H16O13P2R2	C10H18O13P2R2
cpd03943	C21H23NO5	C21H24NO5
cpd11431	C17H33O2	unknown
cpd15551	C7H11N2O3	C7H14N2O3
cpd15550	C131H234N2O63P4	C131H230N2O63P4
cpd14828		noformula
cpd12272	C18H32O16	C12H22O10(C6H10O6)n
cpd16389	C14H20N2O	C14H21N2O
cpd14606		noformula
cpd14607		noformula
cpd14604		noformula
cpd17929	CH3O4P	CHO4P
cpd14602		noformula
cpd14603		noformula
cpd14600		noformula
cpd08309	C19H22N6O10P	C19H23N6O10P
cpd11739	C30H35N15O16P2	C20H25N10O10P(C10H12N5O6P)n
cpd01235	C10OCl10	C10Cl10O
cpd09109	C23H25NO4	C23H26NO4
cpd17481	C48H80N7O20P3S	C48H76N7O20P3S
cpd03921	C36H40N2O6	C36H42N2O6
cpd02204	C10H15N3O7P	C10H14N3O7P
cpd11072	C21H28O3F2	C21H28F2O3
cpd01237	C45H71N7O20P3S	C45H70N7O20P3S
cpd05419	C11H16O8	C11H15O8
cpd00028	C34H30FeN4O4	C34H30N4O4.Fe
cpd11289	C23H13N4O3SF9	C23H13F9N4O3S
cpd00022	C23H35N7O17P3S	C23H34N7O17P3S
cpd11078	C19H21O4F	C19H21FO4
cpd04016	C3H5OCl	C3H5ClO
cpd04017	C3H3OCl	C3H3ClO
cpd14738		noformula
cpd04015	C3H5OCl	C3H5ClO
cpd17920	C14H17ClN4S	C14H18ClN4S
cpd14732		noformula
cpd14733	C22H33N10O15P2R2	C22H34N10O15P2R2
cpd14730		C59H91N17O14
cpd14731		noformula
cpd10567	C2H3OBr	C2H3BrO
cpd04018	C3H2O2Cl	C3H2ClO2
cpd04019	C3H2O2Cl	C3H2ClO2
cpd09543	C6H8N2OS	C6H9N2OS
cpd09541	C11H16N4O2	C16H24N4O2
cpd09016	C18H21NO5	C18H22NO5
cpd16868		unknown
cpd09013	C16H21NO3	C16H22NO3
cpd09012	C17H23NO3	C17H24NO3
cpd08545	C9H11N2O5F	C9H11FN2O5
cpd08010	C10H4N2OClBr3	C10H4Br3ClN2O
cpd04796	C26H31NOCl2F3	C26H31Cl2F3NO
cpd08540	C7H6NOCl	C7H6ClNO
cpd09018	C17H19NO5	C17H20NO5
cpd17827	C24H40O5	C24H39O5
cpd08543	C22H22N3O2SF	C22H22FN3O2S
cpd04508	C40H67N7O18P3S	C40H66N7O18P3S
cpd00842	C25H39N7O18P3S	C25H38N7O18P3S
cpd10934	C12H6O2Cl2	C12H5Cl2O2
cpd00880	C6H9O10P	C6H8O10P
cpd03612	H2NR	unknown
cpd04278	C16H20N2Cl	C16H20ClN2
cpd04279	C18H25NO	C18H26NO
cpd11678	C28H42N2O31S3*2	(C28H42N2O31S3)n
cpd00793	C12H17N4O4PS	C12H16N4O4PS
cpd11674	C15H23O16P2R3	C10H17O10PR2(C5H8O6PR)n
cpd11675	C18H32O16	C12H22O11(C6H10O5)n
cpd04271	C21H21N	C21H22N
cpd11670	C14H21NO11*2	(C14H21NO11)n
cpd11671	C6H7N3O4R3	C4H6N2O3R2(C2H2NOR)n
cpd11672	HO10P3	H4P2O7(HPO3)n
cpd11673	C2H3NO2R	C2H4NO2R
cpd04479	C25H32N5O2Cl	C25H33ClN5O2
cpd10935	C12H2O2Cl5	C12H2Cl5O2
cpd00155	C30H52O26	C24H42O21
cpd02756	C21H44N7O14P	C21H43N7O14P
cpd04471	C17H18NCl2	C17H18Cl2N
cpd04472	C17H27NCl	C17H27ClN
