inchikey	dG0_prime_kcal	uncertainty_kcal	source_cpd	match_type
RTTXIBKRJFIBBG-UWTATZPHSA-N	-167.47594750975423	1.7368248809469524	cpd03381	connectivity
BGUPNWPPECTFDP-HZAMXZRMSA-M	-44.55940971695218	56449.557107114	cpd03386	exact
JULROCUWKLNBSN-IMJSIDKUSA-N	116.74710688804477	23900.57361376673	cpd03402	connectivity
KGXZPWNBFWCDRF-YGVKFDHGSA-N	107.11059400203989	23900.57361376673	cpd03406	connectivity
XLFIRMYGVLUNOY-SXMZNAGASA-H	474.9930214124768	23900.57361376673	cpd03425	connectivity
KDCCOOGTVSRCHX-RWPZCVJISA-L	250.44454564064432	5.098563568279813	cpd03433	connectivity
DNDNWOWHUWNBCK-PIAXYHQTSA-M	-188.431799534299	22155.778178413515	cpd03467	connectivity
DKMLMZVDTGOEGU-AIKFXVFZSA-L	237.8725750890173	5.692380680207378	cpd03509	connectivity
CRXOALRUOMUPMC-UMMCILCDSA-K	-678.4956469406719	16172.76969194709	cpd03519	connectivity
BMQYVXCPAOLZOK-XINAWCOVSA-N	-42.45331350999805	16172.738206172624	cpd03522	connectivity
XNRNNGPBEPRNAR-VTCRGFIFSA-M	162.71661835750032	1.391733228464253	cpd03552	connectivity
KLURIVUFKOVPER-ZETCQYMHSA-L	-98.83231019026354	0.38726919401059545	cpd03567	connectivity
WNUWWHMCMPDGLG-LHBOOPKSSA-K	-551.4180483118571	1.300400346304241	cpd03581	connectivity
OTENCPQKSBPYCM-GQCNFOOOSA-I	-527.9389555780612	1.89439585021749	cpd03588	connectivity
KQZBVNZAEQASKU-YFKPBYRVSA-M	-67.15188334177763	23901.40147665762	cpd03600	connectivity
GHFJNBYZGVNAOV-YFKPBYRVSA-M	-67.15188334177763	23901.40147665762	cpd03601	connectivity
HMCYXRFNNOPPPR-SGIHWFKDSA-N	109.02261552455157	1.749632711602061	cpd03616	connectivity
GSPFUBNBRPVALJ-UAAVFWQKSA-N	-91.69533184998795	52840.23221471375	cpd03622	connectivity
NOFOAYPPHIUXJR-HTXJQEOSSA-N	331.0962279126595	23900.57361376673	cpd03628	connectivity
BKBYHSYZKIAJDA-LPEMZMRWSA-M	223.78285136175484	23900.57361376673	cpd03636	connectivity
SDXCRASCLFBFND-SDNWHVSQSA-L	-130.57203041734837	1.8293806416453098	cpd03645	connectivity
YYIUHLPAZILPSG-SMILAEQMSA-O	82.85040009132693	25053.364507684113	cpd03695	connectivity
PZJOIILIPTVGFU-UHFFFAOYSA-K	-58.12519748585692	23902.215898430535	cpd03699	connectivity
BNABBHGYYMZMOA-QJBBZCPBSA-N	-470.02801388956823	2.3996203858278062	cpd03718	connectivity
DJMVHSOAUQHPSN-VXDFXQCISA-N	-408.22027625793754	1.9865727956186527	cpd03719	connectivity
FJCUPROCOFFUSR-YIQJLYQHSA-N	-346.807203831466	1.612377545655063	cpd03720	connectivity
BGWGXPAPYGQALX-KCDKBNATSA-L	-313.5835914278671	0.3042666620301402	cpd03753	connectivity
ZAKJZPQDUPCXSD-WQQCJBPISA-N	73.4406513406032	56448.649424155374	cpd03825	connectivity
YLFRRPUBVUAHSR-LXQXBXIXSA-N	98.6094458153615	56448.80001517204	cpd03827	connectivity
FMAORJIQYMIRHF-BCDHYOAOSA-N	-66.5968254511555	0.4558046529466425	cpd03879	connectivity
WQZGKKKJIJFFOK-YIDFTEPTSA-N	-101.94382392281615	0.15252331341609754	cpd03882	connectivity
LKDRXBCSQODPBY-JDJSBBGDSA-N	-102.34505554211302	0.4315615581174029	cpd03884	connectivity
ZEBIACKKLGVLFZ-UHFFFAOYSA-P	234.95480678050555	4.0258666349043475	cpd03931	connectivity
LOUPRKONTZGTKE-ILWKUFEGSA-O	164.33152875924318	36985.610015734936	cpd03937	connectivity
KMPWYEUPVWOPIM-QZCPTFHJSA-O	190.4138827719375	36985.519156767645	cpd03938	connectivity
VJFMSYZSFUWQPZ-BPBOJLQBSA-O	141.1339583379449	36985.79381997763	cpd03939	connectivity
CJDRUOGAGYHKKD-SXKXKDIKSA-N	262.44616775511554	23900.57361376673	cpd03951	connectivity
FVECELJHCSPHKY-UIHGVQCZSA-O	506.1789712314563	23900.57361376673	cpd03953	connectivity
YCGXMNQNHBKSKZ-JVYUANJDSA-N	23.978071489373853	1.9624478852794536	cpd04069	connectivity
VAAUVRVFOQPIGI-SPQHTLEESA-L	154.78598456328592	23900.57361376673	cpd04084	connectivity
FCFNRCROJUBPLU-UYBNATROSA-N	398.5696877659479	17.383313210552874	cpd04085	connectivity
MYPYJXKWCTUITO-PEXDLSFLSA-O	739.8864033178133	23900.57361376673	cpd04090	connectivity
YFZNSPMAOIVQRP-KHZLDBTCSA-N	-117.52255688880834	23902.018652213355	cpd04093	connectivity
AXRMZRLNCOVFJZ-POYBYMJQSA-M	-52.18212468971676	1.8200107432660437	cpd04108	connectivity
KWQSYZVAOWYCNP-UHFFFAOYSA-M	-52.182124356039424	1.8200107432660437	cpd04116	connectivity
RJURFGZVJUQBHK-IIXSONLDSA-N	539.1226015731326	23911.031342639442	cpd04147	connectivity
WPQNJCYILUYTQH-MBSDFSHPSA-M	-237.49586567206273	7.942432849387366	cpd04150	connectivity
KHCWAAXIQILFRK-CVDCTZTESA-M	-214.27749530299806	7.622631115204278	cpd04151	connectivity
ROFMCMXCPNFONV-SFTDATJTSA-M	-205.8071134577644	8.241532659320502	cpd04152	connectivity
MXDWXJYFRRURMW-BCGWSGGWSA-M	-164.04736735908668	7.943205032212195	cpd04154	connectivity
SBIJXMUETDVEQB-CJERNAKNSA-M	-213.25281726637087	8.302513780493973	cpd04157	connectivity
GRWBRZRHHYOYGA-ZCUHFZEISA-M	-190.01755557847136	8.090593140701905	cpd04158	connectivity
VBTCKXSLQWDWIM-RJZZKAENSA-N	-199.50543396615248	8.464990429123745	cpd04159	connectivity
DHQWPIXFALDZDJ-DFKBRRSPSA-N	-106.00118468022129	8.065416002175956	cpd04160	connectivity
WPICPWIIIBCXCV-WPOPPVFYSA-N	-150.28134303700423	8.11367845045182	cpd04161	connectivity
RLAZQZRIYCOWMY-OVAHQGMASA-N	-132.78552680355855	7.965190090702386	cpd04162	connectivity
IHIIRQILYAXIOH-FWFMMWRZSA-N	-177.07398999637778	8.007823251064613	cpd04163	connectivity
PRUXMUKWYBVNMB-OVAHQGMASA-M	-188.1695573171509	7.980954025388274	cpd04164	connectivity
GOYUMGXIFMGKFN-FWFMMWRZSA-M	-232.44703251173183	8.023588787179246	cpd04165	connectivity
QSFKGMJOKUZAJM-CNKDKAJDSA-M	176.0785837108442	28224.843152079928	cpd04195	connectivity
DLJKPYFALUEJCK-IIELGFQLSA-M	206.46102803392765	2.118791155768096	cpd04223	connectivity
GPRBEKHLDVQUJE-VINNURBNSA-M	-108.40929251487685	36713.12466226105	cpd04235	connectivity
VWFCHDSQECPREK-UHFFFAOYSA-M	-120.7486175941971	2.0147349665031524	cpd04252	connectivity
DCSUBABJRXZOMT-UHFFFAOYSA-O	170.937886878198	3.1299338707848903	cpd04253	connectivity
YNNUSGIPVFPVBX-VQCQRNETSA-O	309.7618813688561	2.6107332481630796	cpd04256	connectivity
WDQPAMHFFCXSNU-BGABXYSRSA-N	214.02834423307996	23900.57361376673	cpd04258	connectivity
ZOEFCCMDUURGSE-CQVUSSRSSA-T	801.5529699407318	383118.73474095104	cpd04266	connectivity
NFLWUMRGJYTJIN-UHFFFAOYSA-O	497.44756845683565	99812.35170555658	cpd04277	connectivity
MKXZASYAUGDDCJ-NJAFHUGGSA-O	252.99687655671445	23900.57361376673	cpd04279	connectivity
YFAGHNZHGGCZAX-KEYYUXOJSA-M	155.6089509869719	23900.57361376673	cpd04282	connectivity
ILYCWAKSDCYMBB-PBDFLTHWSA-N	447.3899635946001	25054.815931485715	cpd04288	connectivity
IAVUPMFITXYVAF-XPUUQOCRSA-N	164.80551467009525	23900.57361376673	cpd04294	connectivity
ODQWQRRAPPTVAG-GZTJUZNOSA-O	259.2506716049456	23903.19158914793	cpd04296	connectivity
