# cache=data/modelseed_cache_msd/compounds.sqlite params=data/cc_params_msd.npz p_h=7.0 ionic_strength=0.25M p_mg=3.0 T=298.15K
compound_id	name	formula	status	dgf_prime_kJ_per_mol	uncertainty_kJ_per_mol	dgf_prime_kcal_per_mol	uncertainty_kcal_per_mol
cpd00264	Spermidine	C7H22N3	ok	874.491	6.160	209.008	1.472
cpd00265	Amylopectin	C30H52O26	ok	-1463.019	6.631	-349.670	1.585
cpd00266	Carnitine	C7H15NO3	ok	160.564	100007.496	38.376	23902.365
cpd00267	Sphingoid	C18H38NO2	ok	1385.342	5.422	331.105	1.296
cpd00268	H2S2O3	HO3S2	undecomposable				
cpd00269	2-Oxoadipate	C6H6O5	ok	-541.117	2.156	-129.330	0.515
cpd00270	Caffeoyl-CoA	C30H38N7O19P3S	ok	-1867.052	9.609	-446.236	2.297
cpd00271	Ferricyanide	C6FeN6	compound not in cache				
cpd00272	GDP-L-fucose	C16H23N5O15P2	ok	-1732.769	46300.796	-414.142	11066.156
cpd00273	Glycoprotein	C28H47N5O18	compound not in cache				
cpd00274	Citrulline	C6H13N3O3	ok	31.100	4.189	7.433	1.001
cpd00275	L-Kynurenine	C10H12N2O3	ok	172.251	3.460	41.169	0.827
cpd00276	GLUM	C6H14NO5	ok	-197.669	1.824	-47.244	0.436
cpd00277	Deoxyguanosine	C10H13N5O4	ok	280.612	46300.529	67.068	11066.092
cpd00278	Indolepyruvate	C11H8NO3	ok	69.925	4.489	16.713	1.073
cpd00279	Acetoacetyl-CoA	C25H36N7O18P3S	ok	-1895.463	7.771	-453.027	1.857
cpd00280	D-Galacturonate	C6H9O7	ok	-724.912	1.591	-173.258	0.380
cpd00281	GABA	C4H9NO2	ok	-5.706	1.621	-1.364	0.388
cpd00282	S-Dihydroorotate	C5H5N2O4	ok	-408.219	4.989	-97.567	1.192
cpd00283	Geranyldiphosphate	C10H18O7P2	ok	-991.294	5.096	-236.925	1.218
cpd00284	6-Phospho-D-gluconate	C6H10O10P	ok	-1565.607	1.368	-374.189	0.327
cpd00285	Phosphoethanolamine	C2H7NO4P	ok	-757.051	2.146	-180.939	0.513
cpd00286	Undecaprenylphosphate	C55H89O4P	ok	3829.006	26.489	915.154	6.331
cpd00287	3-Oxo-2-methylpropanoate	C4H5O3	ok	-255.555	1.322	-61.079	0.316
cpd00288	D-Glucosamine phosphate	C6H13NO8P	ok	-1079.997	2.375	-258.125	0.568
cpd00289	Geranylgeranyl diphosphate	C20H34O7P2	ok	-113.502	9.735	-27.128	2.327
cpd00290	D-fructose-1,6-bisphosphate	C6H10O12P2	ok	-2205.407	1.140	-527.105	0.273
cpd00291	L-Dopa	C9H11NO4	ok	-176.824	4.197	-42.262	1.003
cpd00292	HMG-CoA	C27H39N7O20P3S	ok	-2127.495	7.936	-508.483	1.897
cpd00293	N-Acetyl-D-glucosamine 6-phosphate	C8H14NO9P	ok	-1165.107	2.829	-278.467	0.676
cpd00294	dAMP	C10H12N5O6P	ok	-387.642	2.763	-92.649	0.660
cpd00295	dGDP	C10H13N5O10P2	ok	-1476.830	46300.632	-352.971	11066.117
cpd00296	dGMP	C10H12N5O7P	ok	-606.936	46300.632	-145.061	11066.117
cpd00297	dTDP	C10H14N2O11P2	ok	-1764.440	4.519	-421.711	1.080
cpd00298	dTMP	C10H13N2O8P	ok	-888.478	4.519	-212.351	1.080
cpd00299	dUMP	C9H11N2O8P	ok	-968.482	4.135	-231.473	0.988
cpd00300	Urate	C5H3N4O3	ok	-151.137	4.722	-36.123	1.128
cpd00301	Sterol	C17H28O	ok	877.905	46.516	209.824	11.118
cpd00302	Zeatin	C10H13N5O	ok	827.730	4.339	197.832	1.037
