seed_id	inchi_key	formula	reason	smiles
cpd03426	BGOACVAUVSDVGE-XLIRECGNSA-F	C42H38N4O16	creation failed	C[C@@]1(CC(=O)[O-])c2cc3[nH]c(cc4[nH]c(cc5nc(cc(n2)[C@H]1CCC(=O)[O-])C(CC(=O)[O-])=C5CCC(=O)[O-])c(CCC(=O)[O-])c4CC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]3CCC(=O)[O-]
cpd03436	SYRRRRIVTTUQRA-SLWKWRHSSA-N	C56H78N4O6	creation failed	CC[C@H]1c2cc3[nH]c4c(c3C)C(=O)C(C(=O)OC)=c4c3nc(cc4[nH+]c(cc([nH]2)[C@@H]1C)C(=C(C)[O-])C=4C)[C@@H](C)[C@@H]3CCC(=O)OCC/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
cpd03520	OYCGLTULCYRTKY-BMFJQBBXSA-K	C10H11N5O6PS2	creation failed	Nc1nc(=O)c2c([nH]1)N[C@@H]1O[C@H](COP(=O)([O-])[O-])C(=S)C([S-])[C@@H]1N2
cpd03562	IJNJLGFTSIAHEA-UHFFFAOYSA-N	C3H2O	no pKas to build it	C#CC=O
cpd03616	HMCYXRFNNOPPPR-SGIHWFKDSA-N	C10H16O2	no pKas to build it	C[C@H](C=O)[C@H]1CC[C@H](C)[C@H]1C=O
cpd03622	GSPFUBNBRPVALJ-UAAVFWQKSA-N	C17H20O6	no pKas to build it	CC(=O)OC1[C@H]2O[C@H]2C2=CC(=O)[C@]3(C[C@]2(C)[C@H]1C)O[C@]3(C)C=O
cpd03628	NOFOAYPPHIUXJR-HTXJQEOSSA-N	C20H34O4	creation failed	C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H]1CC[C@H]1C[C@@H]3CC12CC[C@]3(O)CO
cpd03636	BKBYHSYZKIAJDA-LPEMZMRWSA-M	C19H23O6	creation failed	C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C[C@H](O)C[C@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)[O-]
cpd03664	OGQNOIVDVXRWRE-UHFFFAOYSA-N	C4H4O	no pKas to build it	C#CCC=O
cpd03725	VAVAILGEOMLRRK-UHFFFAOYSA-H	C12H10FeO14	creation failed	O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Fe+3]
cpd03757	VDUKUSMQELWXGO-DPAZEOEGSA-N	C5H6O5	no pKas to build it	O=C1O[C@H](CO)C(=O)C1O
cpd03760	CPFCYJZZFXBZDV-CXWRYADNSA-F	C44H48N4O16	creation failed	C[C@@]1(CC(=O)[O-])C2=CC3=N[C@@](C)([C@@H]4N=C(CC5=N[C@@](C)(CC(=C1CCC(=O)[O-])N2)C(CC(=O)[O-])=C5CCC(=O)[O-])[C@](C)(CCC(=O)[O-])[C@H]4CC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]3CCC(=O)[O-]
